date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:04	79556/79556	---MCZ	200	added ('OK')	text/html	etag:cacheable:cc2a9d8412aec84afee118c58ef8b652	https://duke-16.myshopify.com/collections/new-arrivals	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals.html	(from https://duke-16.myshopify.com/)
15:48:05	78081/78081	---MCZ	200	added ('OK')	text/html	etag:cacheable:784da6a35813f040c6dc927cc60edee0	https://duke-16.myshopify.com/collections/all	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/all.html	(from https://duke-16.myshopify.com/)
15:48:05	21277/21277	---MCZ	200	added ('OK')	text/html	etag:cacheable:b9320632941d84566ecbf6556e26b370	https://duke-16.myshopify.com/collections/	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/index.html	(from https://duke-16.myshopify.com/)
15:48:05	25517/25517	---MCZ	200	added ('OK')	text/html	etag:cacheable:d787cbd52e075733c28ffb7932e21b41	https://duke-16.myshopify.com/blogs/news	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/blogs/news.html	(from https://duke-16.myshopify.com/)
15:48:06	19668/19668	---MCZ	200	added ('OK')	text/html	etag:cacheable:84e952aaa43c92521889bb132848f3a7	https://duke-16.myshopify.com/pages/about-us	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/pages/about-us.html	(from https://duke-16.myshopify.com/)
15:48:06	0/0	---M--	429	error ('Unknown%20error')	text/html	date:Tue,%2004%20Aug%202015%2014:48:06%20GMT	https://duke-16.myshopify.com/pages/theme-features	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/pages/theme-features	(from https://duke-16.myshopify.com/)
15:48:06	0/0	---M--	429	error ('Unknown%20error')	text/html	date:Tue,%2004%20Aug%202015%2014:48:06%20GMT	https://duke-16.myshopify.com/pages/how-to-set-up-shopify-theme-symmetry	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/pages/how-to-set-up-shopify-theme-symmetry	(from https://duke-16.myshopify.com/)
15:48:06	0/0	---M--	429	error ('Unknown%20error')	text/html	date:Tue,%2004%20Aug%202015%2014:48:06%20GMT	https://duke-16.myshopify.com/pages/contact-us	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/pages/contact-us	(from https://duke-16.myshopify.com/)
15:48:07	18940/18940	---MCZ	200	added ('OK')	text/html	etag:cacheable:12b75884295996c031a55502a367edb4	https://duke-16.myshopify.com/account/register	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/account/register.html	(from https://duke-16.myshopify.com/)
15:48:07	0/0	---M--	429	error ('Unknown%20error')	text/html	date:Tue,%2004%20Aug%202015%2014:48:07%20GMT	https://duke-16.myshopify.com/account/login	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/account/login	(from https://duke-16.myshopify.com/)
